Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 78.0.3904.70,,,2019-10-29 15:55:55,2019-10-29 15:56:19,23.947s,FAILED
,,,,,,,
Test Cases/Day2/Test_DataDriven,Chrome 78.0.3904.70,,,2019-10-29 15:55:55,2019-10-29 15:56:08,12.119s,PASSED
"openBrowser("""")",Chrome 78.0.3904.70,,,2019-10-29 15:55:56,2019-10-29 15:56:00,3.939s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 78.0.3904.70,,,2019-10-29 15:56:00,2019-10-29 15:56:01,0.609s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), username)",Chrome 78.0.3904.70,,,2019-10-29 15:56:01,2019-10-29 15:56:01,0.320s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), password)",Chrome 78.0.3904.70,,,2019-10-29 15:56:01,2019-10-29 15:56:01,0.270s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 78.0.3904.70,,,2019-10-29 15:56:01,2019-10-29 15:56:02,1.281s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Welcome Admin""))",Chrome 78.0.3904.70,,,2019-10-29 15:56:02,2019-10-29 15:56:03,0.852s,PASSED
"waitForElementPresent(findTestObject(""Page_OrangeHRM/a_Logout""), 3)",Chrome 78.0.3904.70,,,2019-10-29 15:56:03,2019-10-29 15:56:04,0.301s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Logout""))",Chrome 78.0.3904.70,,,2019-10-29 15:56:04,2019-10-29 15:56:04,0.810s,PASSED
closeBrowser(),Chrome 78.0.3904.70,,,2019-10-29 15:56:04,2019-10-29 15:56:06,1.160s,PASSED
,,,,,,,
Test Cases/Day2/Test_DataDriven,Chrome 78.0.3904.70,,,2019-10-29 15:56:08,2019-10-29 15:56:18,10.845s,FAILED
"openBrowser("""")",Chrome 78.0.3904.70,,,2019-10-29 15:56:08,2019-10-29 15:56:10,2.244s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 78.0.3904.70,,,2019-10-29 15:56:10,2019-10-29 15:56:10,0.480s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), username)",Chrome 78.0.3904.70,,,2019-10-29 15:56:10,2019-10-29 15:56:11,0.182s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), password)",Chrome 78.0.3904.70,,,2019-10-29 15:56:11,2019-10-29 15:56:11,0.149s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 78.0.3904.70,,,2019-10-29 15:56:11,2019-10-29 15:56:11,0.263s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Welcome Admin""))",Chrome 78.0.3904.70,,,2019-10-29 15:56:11,2019-10-29 15:56:16,5.493s,FAILED
